Date,Odometer,Fuel Amount,Total Cost,Note,Partial,Skipped
"2016-01-24","102244","32.401","29.03",,,
"2015-12-19","101929","39.716","37.29",,,
"2015-12-02","101436","39.417","27.16",,,
"2015-11-28","100907","35.333","25.58",,,
"2015-11-28","100445","35.439","35.30",,,
"2015-10-24","100066","32.367","30.17",,,
"2015-07-19","99770","33.939","40.35",,,
"2015-06-16","99424","41.267","49.36",,,
"2015-05-17","98939","30.980","32.48",,,
"2015-05-14","98515","36.636","41.00",,,
"2015-05-03","98133","39.210","44.54",,,
"2015-03-22","97756","36.608","36.10",,,
"2015-02-08","97368","32.898","33.19",,,
"2015-02-06","96946","36.730","35.00",,,
"2015-01-01","96553","37.853","35.92",,,
"2014-11-09","96170","41.029","47.14",,,
"2014-09-01","95698","42.244","54.87",,,
"2014-08-16","95196","31.802","40.04",,,
"2014-08-03","94748","31.824","42.29",,,
"2014-06-17","94412","41.478","56.20","",,
"2014-06-07","93856","34.012","46.22","",,
"2014-03-16","93529","30.880","38.88","",,
"2014-03-16","93135","34.667","38.36","",,
"2014-03-16","92678","27.876","32.37","",,
"2014-03-12","92315","33.868","37.81","",,
"2014-03-10","91889","21.941","28.72","",,
"2013-12-27","91716","33.050","42.90","",,
"2013-10-27","91430","35.405","41.60","",,
"2013-09-13","91015","30.820","38.81","",,
"2013-08-27","90651","43.942","58.97","",,
"2013-07-17","90306","36.614","47.56","",,
"2013-05-11","89894","38.731","46.44","",,
"2013-05-10","89410","15.630","18.67","",,
"2013-05-06","89227","37.078","43.53","",,
"2013-05-05","88730","40.132","47.72","",,
"2013-05-02","88216","27.115","31.43","",,
"2013-04-22","87906","42.543","49.31","",,
"2013-04-21","87378","43.290","52.90","",,
"2013-04-17","86884","33.611","39.46","",,
"2013-04-04","86534","42.933","52.98","",,
"2013-03-31","85973","43.415","54.23","",,
"2013-03-26","85428","27.490","33.65","",,
"2013-03-16","85156","42.040","52.68","",,
"2013-02-28","84725","38.937","50.03","",,
"2013-02-19","84329","45.970","59.63","",,
"2013-02-15","83812","42.601","55.04","",,
"2013-02-12","83304","41.460","52.79","",,
"2013-01-29","82898","42.625","51.84","",,
"2013-01-26","82389","38.131","47.13","H paid",,
"2013-01-25","81914","36.280","43.87","",,
"2013-01-14","81565","42.514","50.63","",,
"2012-12-31","81154","39.640","44.76","",,
"2012-12-28","80681","34.648","41.54","",,
"2012-12-22","80311","27.781","33.87","",,
"2012-12-18","79998","29.800","33.65","",,
"2012-12-11","79707","22.690","26.14","After clutch",,
"2012-12-04","79509","31.575","37.83","",,
"2012-11-25","79221","41.020","49.60","",,
"2012-11-14","78845","42.350","52.48","",,
"2012-11-12","78301","41.969","52.34","",,
"2012-11-09","77779","23.957","29.44","",,
"2012-11-05","77561","44.356","53.45","",,
"2012-11-03","77022","34.995","41.38","",,
